station_id,datetime,pH,Conductivity_mS_m,SPM_mg_L,TOC_mgC_L,Turbiditet_NTU,PO4_ug_L,TP_ug_L,NO3_ug_L,NH4_ug_L,TN_ug_L,Si_mg_L,Ca_mg_L,DOC_mg_L,PartC_ug_L,PartN_ug_L,TDP_ug_L,sampling
Malselv_E6,02.12.2018 14:00,7.36,6.89,0.79,0.89,0.34,NA,2,72,13,160,1.19,8.84,0.9,50.3,6.7,1,monthly
Malselv_E6,03.05.2018 13:30,7.5,6.35,1.39,1,0.91,NA,2,60,3,148,1.11,7.81,1.1,124,13.6,1,monthly
Malselv_E6,04.03.2018 15:50,7.5,6.1,0.9,0.96,0.48,NA,2,66,7,185,1.07,7.86,0.98,9.68,9.68,NA,monthly
Malselv_E6,05.07.2018 10:15,7.43,6.41,19.4,3.5,12,19,27,45,NA,230,1.57,8.19,3.5,31.5,31.5,3,monthly
Malselv_E6,06.04.2018,7.63,6.58,5.83,1,1.8,5,4,30,NA,155.044,0.928,8.92,1,77,NA,3,monthly
Malselv_E6,07.02.2018 15:00,7.7,7.69,1.63,1.2,0.47,3,2,44,NA,106.536,0.959,10.4,1.2,61.8,6.2,1,monthly
Malselv_E6,8/13/18 9:30,7.69,7.67,3.74,1.2,1.3,7,20,20,3,123.606,1,10.5,1.1,434,3.7,NA,monthly
Malselv_E6,09.04.2018 12:45,7.79,8.25,0.86,0.95,0.43,NA,3,27,5,98.844,0.897,11.2,0.95,NA,1.66,NA,monthly
Malselv_E6,10.01.2018 12:00,7.81,9.18,0.77,1.6,0.51,NA,3,67,3,166.436,1.16,12.5,1.6,108,12,1,monthly
Malselv_E6,11.05.2018 12:45,7.67,8.31,0.96,1,0.57,NA,2,68,3,193.452,1.21,10.9,0.99,7.2,NA,1,monthly
Malselv_E6,12.03.2018 11:30,7.66,8.57,0.77,1.1,0.48,2,3,97,12,190.684,1.28,11.6,1,71.8,5.92,1,monthly
Malselv_E6,01.07.2019 11:00,7.51,7.52,1.5,1.4,0.72,NA,5,98,42,362.505,1.2,9.92,1.3,465,76.5,2,monthly
Malselv_E6,02.04.2019 12:00,7.57,8.08,3.44,0.94,4.1,4,5,78,6,174.123,1.24,9.47,1,101,6.74,2,monthly
Malselv_E6,03.04.2019 12:30,7.54,9.19,1.14,1.7,0.89,1,5,130,3,292.416,1.4,12.2,1.6,213,19,2,monthly
Malselv_E6,04.01.2019 12:00,7.52,8.12,0.9,1.2,0.7,2,5,240,2,239.978,1.22,10.6,1.1,160,20.7,2,monthly
Malselv_E6,05.10.2019 12:00,7.59,8.72,4.91,1.6,3.2,6,7,110,NA,245.085,1.35,11.4,1.5,140,NA,NA,monthly
Malselv_E6,06.03.2019 11:45,7.46,6.9,2.48,1.2,1.5,3,4,55,NA,158.288,1.05,9.74,1.2,104,12.5,NA,monthly
Malselv_E6,07.01.2019,7.73,7.19,2.48,1.1,0.84,3,3,39,NA,125.776,0.961,9.5,1.1,87.2,9.41,1,monthly
Malselv_E6,08.05.2019 16:00,7.13,6.85,1.53,0.64,0.74,2,2,27,NA,106.609,0.866,8.83,0.62,80.2,NA,NA,monthly
Malselv_E6,09.02.2019 13:00,7.7,8.29,0.86,0.8,0.6,NA,3,25,NA,90.276,0.886,11.2,0.7,90.4,7.2,2,monthly
Malselv_E6,10.07.2019 14:00,7.48,7.15,1.91,0.97,0.65,2,2,30,4,107.294,1.04,9.55,0.95,94.2,NA,NA,monthly
Malselv_E6,11.04.2019 11:00,7.59,7.81,2.81,1,0.66,3,3,63,16,189.99,1.14,9.69,0.9,139,15.9,NA,monthly
Malselv_E6,12.09.2019 11:00,7.49,7.2,0.76,1.1,NA,NA,3,62,11,151.622,1.16,9.1,1.1,150,14.8,NA,monthly
Malselv_E6,01.06.2020 16:15,7.43,7.69,0.75,1.4,0.71,1,3,78,21,200,1.15,9.33,1.5,116,15.2,1,monthly
Malselv_E6,02.06.2020,7.46,7.76,NA,2,NA,2,4,77,6,200,1.23,9.11,2,85.5,8.4,NA,monthly
Malselv_E6,03.02.2020 12:00,7.42,7.62,2.33,0.96,NA,2,2,71,10,130,1.18,11,1.1,65.7,9.69,NA,monthly
Malselv_E6,4/14/20 11:15,7.38,8.09,6.87,1.1,0.39,4,7,90,7,180,1.19,10.4,1.1,227,27.4,2,monthly
Malselv_E6,05.04.2020 10:30,7.09,7.58,1.48,5.1,1.3,4,5,130,5,300,1.66,8.07,4.9,188,13.3,3,monthly
Malselv_E6,5/20/20,NA,NA,NA,2.7,NA,13,17,165,42,260,NA,NA,3.8,NA,NA,15,freshet_extra
Malselv_E6,5/29/20,NA,NA,NA,3.5,NA,7,16,121,17,360,NA,NA,4.1,NA,NA,7,freshet_extra
Malselv_E6,06.02.2020 12:20,7.43,6.47,23.9,5.1,6,18,22,65,NA,170,1.72,8.25,4.6,1110,142,3,freshet_extra
Malselv_E6,06.03.2020,NA,NA,NA,2.9,NA,6,28,71,11,180,NA,NA,3.1,NA,NA,7,monthly
Malselv_E6,06.10.2020,NA,NA,NA,8.3,NA,38,60,61,21,240,NA,NA,3,NA,NA,41,freshet_extra
Malselv_E6,6/22/20,NA,NA,NA,1.5,NA,1,13,37,11,92,NA,NA,1.6,NA,NA,NA,freshet_extra
Malselv_E6,07.06.2020 10:15,7.52,6.93,2.21,3.3,1,2,2,37,NA,84,1,9.3,3.6,205,17.5,NA,freshet_extra
Malselv_E6,07.08.2020,NA,NA,NA,1.8,NA,1,9,38,9,77,NA,NA,1.4,NA,NA,3,monthly
Malselv_E6,08.01.2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monthly
Malselv_E6,08.03.2020 08:30,7.56,6.36,2.05,2.3,0.63,2,3,18,NA,63,0.885,8.45,2.4,222,17.2,1,freshet_extra
Malselv_E6,09.07.2020 09:40,7.6,7.6,3.74,1.7,1.2,1,2,20,NA,71,1.05,9.58,1.7,187,21.2,NA,monthly
Malselv_E6,10.05.2020 11:45,7.67,8.03,0.95,1.3,0.65,2,3,33,5,68,1.12,10.8,1.2,96.2,8.98,1,monthly
Malselv_E6,11.02.2020 09:10,7.51,9.05,1.06,1.1,0.56,2,3,93,5,190,1.33,11.2,1,140,37.2,2,monthly
Malselv_E6,12.07.2020 10:45,7.55,7.54,2.1,1.1,0.62,2,3,63,11,150,1.27,9.63,1.2,348,51.5,1,monthly
Malselv_E6,1/29/21 12:00,7.44,8.53,NA,0.84,NA,NA,NA,72,14,130,1.5,11.6,0.87,27.8,3.04,NA,monthly
Malselv_E6,2/15/21 10:00,7.28,7.12,1.32,1.1,0.75,NA,5,86,35,200,1.3,8.79,1.1,484,78.4,NA,monthly
Malselv_E6,03.01.2021 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monthly
Malselv_E6,04.06.2021 09:15,7.19,9.18,6.25,6,3.3,16,NA,100,67,770,1.08,8.9,3.2,1672,195.5,NA,monthly
Malselv_E6,05.03.2021 07:30,7.47,7.86,1.65,1.4,0.6,4,11,72,32,430,1.19,9.67,1.4,158,23.5,NA,monthly
Malselv_E6,06.07.2021 12:00,7.44,5.91,8.2,1.3,3,7,8,26,NA,85,2.37,8.72,1.3,231,20.6,NA,monthly
Malselv_E6,07.05.2021 12:15,7.52,6.13,2.71,0.65,0.73,2,3,18,NA,44,0.823,7.89,0.64,183,24,NA,monthly
Malselv_E6,08.02.2021 10:00,7.53,7.51,1.05,0.77,0.64,NA,2,23,NA,71,0.914,8.43,0.78,150,13,NA,monthly
Malselv_E6,09.06.2021 13:10,7.7,7.29,0.88,1.1,0.61,1,4,19,3,60,1.01,10.8,1.1,276,14.5,NA,monthly
Malselv_E6,10.04.2021 12:00,7.79,9.62,4.73,0.8,0.78,2,3,42,2,87,1.14,12.9,0.78,251,29.2,NA,monthly
Malselv_E6,11.01.2021 11:30,7.65,7.65,1.52,1,0.4,1,3,44,4,580,1.26,10.2,1.1,129,21.4,NA,monthly
Malselv_E6,12.06.2021 10:30,7.76,8.65,0.22,0.82,NA,NA,1,57,5,110,1.39,11.7,0.79,59.2,6.08,NA,monthly
Malselv_E6,05.17.2019  13:30:00,7.35,9.5,NA,NA,NA,1.2,NA,106,14,NA,1.18,NA,2.5,NA,NA,NA,freshet_extra
Malselv_E6,05.19.2019  10:00:00,0.08,6.4,NA,NA,NA,1.2,NA,76,11,NA,1.08,NA,2.72,NA,NA,NA,freshet_extra
Malselv_E6,05.21.2019  11:20:00,7.29,5.3,26.2,NA,NA,1.2,NA,54,12,NA,0.96,NA,2.315,NA,NA,NA,freshet_extra
Malselv_E6,05.24.2019  10:30:00,NA,8.1,NA,NA,NA,1.3,NA,66,40,NA,0.98,NA,2.038,NA,NA,NA,freshet_extra
Malselv_E6,05.29.2019  10:50:00,NA,9.2,3.7,NA,NA,0.8,NA,72,9,NA,0.95,NA,1.797,NA,NA,NA,freshet_extra
Malselv_E6,05.31.2019  11:10:00,NA,5.8,11.4,NA,NA,0.8,NA,50,13,NA,0.88,NA,2.129,NA,NA,NA,freshet_extra
Malselv_E6,06.08.2019 15:57,7.07,3.6,60.4,NA,NA,1.3,NA,45,14,NA,0.7,NA,1.446,NA,NA,NA,freshet_extra
Malselv_E6,06.11.2019 10:00,NA,NA,NA,NA,NA,4.6,NA,54,17,NA,0.89,NA,1.867,NA,NA,NA,freshet_extra
Malselv_E6,06.20.2019  10:00:00,7.64,6.95,4.8,NA,NA,1,NA,51,6,NA,0.78,NA,1.185,NA,NA,NA,freshet_extra
